Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 hr Probability,1 hr Supra-Seis Prob,Primary Aftershocks Mean
2.5,0.004,0.0,0.0,0.0,0.0,0.0036,0.0,0.00237
2.6,0.00305,0.0,0.0,0.0,0.0,0.00275,0.0,0.00178
2.7,0.00242,0.0,0.0,0.0,0.0,0.00223,0.0,0.00144
2.8,0.00191,0.0,0.0,0.0,0.0,0.00178,0.0,0.00115
2.9,0.00143,0.0,0.0,0.0,0.0,0.00135,0.0,8.4E-4
3.0,0.00119,0.0,0.0,0.0,0.0,0.00113,0.0,7.0E-4
3.1,9.2E-4,0.0,0.0,0.0,0.0,8.9E-4,0.0,5.9E-4
3.2,7.1E-4,0.0,0.0,0.0,0.0,6.8E-4,0.0,4.8E-4
3.3,5.6E-4,0.0,0.0,0.0,0.0,5.5E-4,0.0,3.7E-4
3.4,4.3E-4,0.0,0.0,0.0,0.0,4.2E-4,0.0,2.7E-4
3.5,3.1E-4,0.0,0.0,0.0,0.0,3.1E-4,0.0,2.0E-4
3.6,2.2E-4,0.0,0.0,0.0,0.0,2.2E-4,0.0,1.3E-4
3.7,1.7E-4,0.0,0.0,0.0,0.0,1.7E-4,0.0,1.0E-4
3.8,1.5E-4,0.0,0.0,0.0,0.0,1.5E-4,0.0,9.0E-5
3.9,1.1E-4,0.0,0.0,0.0,0.0,1.1E-4,0.0,6.0E-5
4.0,9.0E-5,0.0,0.0,0.0,0.0,9.0E-5,0.0,5.0E-5
4.1,5.0E-5,0.0,0.0,0.0,0.0,5.0E-5,0.0,2.0E-5
4.2,4.0E-5,0.0,0.0,0.0,0.0,4.0E-5,0.0,1.0E-5
4.3,4.0E-5,0.0,0.0,0.0,0.0,4.0E-5,0.0,1.0E-5
4.4,3.0E-5,0.0,0.0,0.0,0.0,3.0E-5,0.0,0.0
4.5,2.0E-5,0.0,0.0,0.0,0.0,2.0E-5,0.0,0.0
4.6,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,0.0,0.0
4.7,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,0.0,0.0
4.8,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,0.0,0.0
4.9,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,0.0,0.0
5.0,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,0.0,0.0
5.1,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,0.0,0.0
5.2,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,0.0,0.0
5.3,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,0.0,0.0
5.4,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,0.0,0.0
5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
